Cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
19-11,-190301.5034080004,81797.02680300006,89853.59846499976,170588.77278499983,-20975.952267999928,42850.93421800002,64451.970765999984,33453.55220500001,85624.20252299999,47906.76344600004,97391.30407899996,13059.549360999972,69946.53302500001,253439.75138700017,104288.81119999995,93809.32879999999,87563.89599999996,95734.76560000001,-2647.5551999999852,73981.35800000007,,,,,,,,,,
19-12,-58539.74100399999,127938.31560500014,95704.819224,38212.58652699998,-95553.20755100001,46196.263975000016,90119.81642799996,39897.898804999946,62788.897016000024,104086.82638499996,36802.453705999986,87435.11508700006,94194.6018210001,59190.01080000003,69466.70280000013,58513.1456,-32898.903999999995,13488.655600000013,20735.236400000013,,,,,,,,,,,
20-01,-123283.76648499997,194112.17422099973,70025.94342500008,53373.682045000016,90940.90487599997,114514.47079699993,277030.1272800001,176122.38997299987,157353.07794899997,164823.81763899984,56075.16044999992,91385.25187800004,36655.29160000001,101394.57119999999,87136.80159999992,119369.48720000006,60846.78479999999,65895.89119999995,,,,,,,,,,,,
20-02,-307058.0989209999,53280.70935500007,-65361.84072600002,42812.060850000016,43057.78851499997,67770.60528899998,57793.88333999999,10776.576248999985,78680.47051300002,57754.82605900001,94869.03960999992,108216.54319999991,67173.19680000002,-15230.296000000013,29918.571200000017,89797.46640000002,240743.9367999999,,,,,,,,,,,,,
20-03,-90449.58057499932,228622.3412989997,115361.25023700001,64577.99873200004,86873.40195899992,49747.201663000014,56788.31177899998,45521.93240100004,124576.54101199994,96476.56589299989,45912.986799999955,56468.522000000026,-4548.528800000004,67880.76839999994,38378.16959999993,43715.71320000002,,,,,,,,,,,,,,
20-04,-69599.03600299894,91079.91228999985,59985.589052999974,103056.57702200003,44235.747344999974,21563.30670899999,22720.53232499999,84865.57706300006,10812.239462999994,50290.192800000004,24698.512399999985,-517352.6151999996,76224.58119999999,55971.633599999994,13075.516800000001,,,,,,,,,,,,,,,
20-05,-102316.00238900047,-67001.95764000001,79539.08179699992,85815.30216899994,81939.896605,98566.66176099997,70942.68333700005,-74749.78565399998,14989.685200000005,45212.989199999996,40426.08399999998,66344.55680000002,55732.15319999997,46516.819199999976,,,,,,,,,,,,,,,,
20-06,-56350.972817999966,-192257.21828900013,72044.17143699998,-30641.434957999973,155094.51172800004,16187.033912999994,60968.76960799997,54072.660800000034,51585.577200000014,51676.55039999996,90043.96839999997,47793.64279999999,-13859.584399999978,,,,,,,,,,,,,,,,,
20-07,-154547.57708500008,56453.549104999984,94785.07559599992,114015.96770599991,51392.08080800002,64143.03063700003,49841.323600000025,66497.12120000001,63809.01439999998,63322.21600000002,132073.27719999995,88680.95479999996,,,,,,,,,,,,,,,,,,
20-08,-143985.19257700018,43507.32572199996,51545.74246099997,98411.29667099997,71494.37234500003,41298.31240000001,139453.14999999988,63215.34639999995,-19304.824000000008,55770.403600000034,105605.96479999996,,,,,,,,,,,,,,,,,,,
20-09,-90573.11008700023,409054.28667000006,9711.368279999939,249368.2499669999,52004.63800000001,32454.92039999997,32459.66880000006,84313.22880000004,88717.1896,167690.16199999992,,,,,,,,,,,,,,,,,,,,
20-10,238545.4672009991,17049.02370699976,234179.64728499984,186404.27479999975,225521.00959999993,121104.33799999955,335290.5075999999,159540.91319999984,237690.4672000001,,,,,,,,,,,,,,,,,,,,,
20-11,-190779.23261599996,450752.36400400044,356485.43279999995,171530.7855999995,75882.50519999956,329245.46468000003,221801.3607999998,154706.7184399998,,,,,,,,,,,,,,,,,,,,,,
20-12,202766.5088659998,141286.90999999992,90482.15120000004,14577.719999999901,85279.35679999994,184529.84199999983,136267.10159999997,,,,,,,,,,,,,,,,,,,,,,,
21-01,-102294.2000000002,130631.8748,186164.4287999998,196479.9539999999,186884.39239999984,61119.57960000005,,,,,,,,,,,,,,,,,,,,,,,,
21-02,-257257.28359999985,126609.02079999943,162510.08495999986,118991.76920000014,76509.04079999987,,,,,,,,,,,,,,,,,,,,,,,,,
21-03,-509316.63839999994,425670.9432,228390.3096,-57344.12759999984,,,,,,,,,,,,,,,,,,,,,,,,,,
21-04,-259281.89388000136,379906.9887999998,200736.90439999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05,-93571.0440000003,269197.0175999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06,-263475.67639999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
